,Source,Text,Date,Compound,Positive,Neutral,Negative,Counter
104,@BBC,??@KewGardens is the largest remaining glasshouse from the Victorian era...but it's more than just a place to keep… https://t.co/CWGllHGJqo,Thu May 03 17:01:04 +0000 2018,0.0,0.0,1.0,0.0,5
105,@BBC,"? There’s no place like gnome for tonight’s @CbeebiesHQ #BedtimeStory with Sir @EltonOfficial! 
 https://t.co/K5V1BFGEdf",Thu May 03 16:01:06 +0000 2018,0.1511,0.175,0.688,0.138,6
106,@BBC,"RT @AboutTheBBC: High praise for ????? My Dad, the Peace Deal and Me @PatricKielty @BBCOne you have 2 days left to catch it @BBCiPlayer - h…",Thu May 03 15:12:08 +0000 2018,0.7964,0.244,0.756,0.0,7
107,@BBC,? The incredible story of how London dug the #VictoriaLine. https://t.co/V4emAUsrVP,Thu May 03 13:04:01 +0000 2018,0.0,0.0,1.0,0.0,8
108,@BBC,RT @BBCr4today: Kew Gardens is currently finding and researching species of plants that can help restore land when the climate changes. @Si…,Thu May 03 12:32:57 +0000 2018,0.5994,0.197,0.803,0.0,9
109,@BBC,RT @BBCTwo: Would you swipe right for Ed? ??? #LoveInTheCountryside @sarajcox https://t.co/LhmVJF463S,Thu May 03 12:31:50 +0000 2018,0.0,0.0,1.0,0.0,10
110,@BBC,"RT @bbcworldservice: Once condemned as witch doctors, traditional healers are now joining forces with medics in South Africa to help fight…",Thu May 03 12:07:40 +0000 2018,-0.4019,0.103,0.69,0.207,11
111,@BBC,RT @BBCNewsround: The UK's first heart transplant was carried out 50 years ago! ?? Find out more here ?https://t.co/L8P2Pzw5fa https://t.co…,Thu May 03 12:02:28 +0000 2018,0.0,0.0,1.0,0.0,12
112,@BBC,"RT @bbcideas: Meet the unsung heroine of early animation ?

More unsung heroines: https://t.co/B4DBsLSOU2 https://t.co/JW9myCTeZb",Thu May 03 12:02:20 +0000 2018,0.7769,0.361,0.639,0.0,13
113,@BBC,"RT @bbcpress: ? The sun's (sort-of) out and it's time for @BBCTwo to show off its #ComedyShorts! Four new specials from @SaraPascoe, @TimKe…",Thu May 03 12:02:13 +0000 2018,0.0,0.0,1.0,0.0,14
114,@BBC,"? This is adorable.

These children are so excited about the #RoyalWedding, they've created the love story of when… https://t.co/PPWMz5pBky",Thu May 03 12:00:18 +0000 2018,0.9103,0.455,0.545,0.0,15
115,@BBC,RT @bbccomedy: Tony Blur vs Oasis  #CunkonBritain https://t.co/s0XsciaUPz,Thu May 03 11:33:51 +0000 2018,0.0,0.0,1.0,0.0,16
116,@BBC,"'When you reclaim the word fat, it takes the power away.' https://t.co/Wquds5gXH1",Thu May 03 11:00:01 +0000 2018,0.0,0.0,1.0,0.0,17
117,@BBC,"RT @bbc5live: ""It's not all doom and gloom - it's about celebrating life""

Paul was told he had  incurable cancer in 2016 - this is his dia…",Thu May 03 10:49:34 +0000 2018,-0.4664,0.17,0.601,0.229,18
118,@BBC,"RT @BBCR1: Can't wait to see @LiamPayne at #BiggestWeekend in Swansea?

How about a Live Lounge next Thursday to tide you over...? ?

This…",Thu May 03 10:03:03 +0000 2018,0.0,0.0,1.0,0.0,19
119,@BBC,RT @BBCTwo: CONFIRMED: Donald Glover’s acclaimed comedy-drama #Atlanta starts Sunday 13 May on @BBCTwo. https://t.co/cqMJcvqMLC,Thu May 03 09:22:25 +0000 2018,0.0,0.0,1.0,0.0,20
120,@BBC,RT @bbceurovision: Making us proud. @surieofficial has recorded a sign language version of Storm. ?https://t.co/MfXKZEQSPJ https://t.co/Kdd…,Thu May 03 08:49:53 +0000 2018,0.4767,0.181,0.819,0.0,21
121,@BBC,RT @bbcworldservice: What's the best way to get rid of food waste? A former pharmaceutical company employee in China has come up with an in…,Thu May 03 08:47:48 +0000 2018,0.34,0.145,0.759,0.097,22
122,@BBC,? This 17-year-old Tanzanian schoolboy has been making house bricks from waste plastic. https://t.co/Mfe4FGUTgY,Thu May 03 08:00:14 +0000 2018,-0.4215,0.0,0.811,0.189,23
123,@BBC,"? Linda Geddes decided to live for weeks in only candlelight.

? Along the way, she discovered simple things that e… https://t.co/zaVSblsE5i",Thu May 03 07:26:02 +0000 2018,0.0,0.0,1.0,0.0,24
124,@BBC,Medical supplies are now only a text message away. And doctors are using drones to deliver them! https://t.co/e6odyQp7MK,Thu May 03 07:04:05 +0000 2018,0.0,0.0,1.0,0.0,25
125,@BBC,Eight rural singles from across the UK enlist the help of farmer's daughter @sarajcox as they take the bull by the… https://t.co/RcPopuypXN,Wed May 02 19:02:03 +0000 2018,0.4019,0.114,0.886,0.0,26
126,@BBC,"Don't like plastic straws? 
?? Here's a solution you'd never have thought of... https://t.co/79fOaOmak3",Wed May 02 18:02:04 +0000 2018,0.049,0.149,0.714,0.137,27
127,@BBC,"A vegan diet doesn't mean giving up on your favourite comfort foods. 

These cosy comforts are just like the real t… https://t.co/QnWNKI87cm",Wed May 02 17:01:07 +0000 2018,0.7239,0.298,0.626,0.075,28
128,@BBC,"? There are so many unexpected ways your wedding day can go wrong. 
Chris from Wales describes his Best Man wedding… https://t.co/by9CPQDoxN",Wed May 02 17:01:04 +0000 2018,0.2732,0.16,0.722,0.118,29
129,@BBC,"?? Rob's finished his 15,000 mile run across America, Forrest Gump style... https://t.co/rdUz8yjzdv",Wed May 02 16:03:01 +0000 2018,0.0,0.0,1.0,0.0,30
130,@BBC,"RT @BBCEarth: Is it too late to save our closest cousins?

#SavingTheOrangutan https://t.co/PFucODDWdE",Wed May 02 15:14:24 +0000 2018,0.4939,0.211,0.789,0.0,31
131,@BBC,"????? 
Swedish meatballs, the national dish of Sweden, have been revealed to have originated from another country -… https://t.co/BL822Rpdfx",Wed May 02 13:00:12 +0000 2018,0.0,0.0,1.0,0.0,32
132,@BBC,RT @bbcthree: This is what happens when you breathe in polluted air. https://t.co/kAmH8JRoCo,Wed May 02 12:26:35 +0000 2018,-0.4588,0.0,0.8,0.2,33
133,@BBC,?? This robot helps transport water in rural India - but how do the villagers get on with the new tech? https://t.co/Nx5Ixg59sx,Wed May 02 12:01:03 +0000 2018,0.2023,0.083,0.917,0.0,34
134,@BBC,"A pilot scheme to clean rivers polluted by abandoned metal mines has delivered 'staggering' results, environment of… https://t.co/6FfqT8puye",Wed May 02 10:23:47 +0000 2018,-0.5106,0.119,0.617,0.264,35
